Track_ID,Object_Class,Total_Fixation_Duration_Frames,Total_Fixation_Duration_Seconds
1009,traffic light,3851.0,154.04
1007,traffic light,2812.0,112.48
1009,traffic light,2565.0,102.6
1009,traffic light,1348.0,53.92
338,traffic light,1002.9999999999999,40.12
641,bus,918.0,36.72
338,traffic light,844.0,33.76
1009,traffic light,802.9999999999999,32.12
641,bus,721.0,28.84
641,bus,675.0,27.0
641,bus,673.0,26.92
641,bus,634.0,25.36
641,bus,633.0,25.32
769,traffic light,585.0,23.4
1009,traffic light,583.0,23.32
641,bus,541.0,21.64
641,bus,501.0,20.04
769,traffic light,389.0,15.56
769,traffic light,376.0,15.04
1009,traffic light,304.0,12.16
769,traffic light,283.0,11.32
769,traffic light,277.0,11.08
769,traffic light,272.0,10.88
641,bus,243.00000000000003,9.72
684,truck,169.0,6.76
604,car,163.0,6.52
384,truck,159.0,6.36
604,car,158.0,6.32
641,bus,154.0,6.16
384,bus,149.0,5.96
384,truck,149.0,5.96
291,bus,149.0,5.96
291,bus,147.0,5.88
684,truck,147.0,5.88
291,bus,143.0,5.72
291,bus,142.0,5.68
291,bus,141.0,5.64
769,traffic light,138.0,5.52
291,bus,137.0,5.48
291,bus,136.0,5.44
291,bus,134.0,5.36
291,bus,133.0,5.32
291,bus,132.0,5.28
291,bus,131.0,5.24
684,truck,130.0,5.2
291,bus,130.0,5.2
1112,traffic light,127.0,5.08
291,bus,126.0,5.04
291,bus,126.0,5.04
291,bus,126.0,5.04
1112,traffic light,125.0,5.0
291,bus,125.0,5.0
291,bus,124.0,4.96
674,traffic light,123.0,4.92
641,bus,122.0,4.88
459,truck,121.0,4.84
291,bus,121.0,4.84
291,bus,121.0,4.84
291,bus,120.0,4.8
291,bus,118.0,4.72
291,bus,118.0,4.72
291,bus,118.0,4.72
684,car,118.0,4.72
291,bus,118.0,4.72
291,bus,114.99999999999999,4.6
291,bus,113.99999999999999,4.56
291,bus,113.99999999999999,4.56
291,bus,113.99999999999999,4.56
291,bus,112.99999999999999,4.52
291,bus,112.00000000000001,4.48
291,bus,111.00000000000001,4.44
291,bus,111.00000000000001,4.44
291,bus,111.00000000000001,4.44
291,bus,111.00000000000001,4.44
1112,traffic light,110.00000000000001,4.4
684,truck,110.00000000000001,4.4
291,bus,110.00000000000001,4.4
291,bus,109.00000000000001,4.36
291,bus,109.00000000000001,4.36
291,bus,109.00000000000001,4.36
1112,traffic light,109.00000000000001,4.36
291,bus,108.0,4.32
684,car,108.0,4.32
291,bus,107.0,4.28
1112,traffic light,106.0,4.24
291,bus,106.0,4.24
291,bus,103.0,4.12
604,car,103.0,4.12
291,bus,102.0,4.08
291,bus,102.0,4.08
384,truck,102.0,4.08
498,traffic light,101.0,4.04
291,bus,101.0,4.04
604,car,100.0,4.0
291,bus,99.0,3.96
1112,traffic light,98.0,3.92
1112,traffic light,98.0,3.92
291,bus,97.0,3.88
291,bus,96.0,3.84
570,car,96.0,3.84
1112,traffic light,96.0,3.84
291,bus,95.0,3.8
570,car,95.0,3.8
1112,traffic light,95.0,3.8
291,bus,92.0,3.68
641,bus,92.0,3.68
571,car,92.0,3.68
115,car,91.0,3.64
291,bus,91.0,3.64
604,car,91.0,3.64
571,car,89.0,3.56
714,car,89.0,3.56
604,car,89.0,3.56
714,car,87.0,3.48
291,bus,86.0,3.44
684,truck,85.0,3.4
571,car,84.0,3.36
570,car,84.0,3.36
291,bus,83.0,3.32
459,truck,83.0,3.32
570,car,83.0,3.32
354,truck,82.0,3.28
291,bus,82.0,3.28
291,bus,82.0,3.28
291,bus,82.0,3.28
291,bus,82.0,3.28
291,bus,81.0,3.24
291,bus,81.0,3.24
684,truck,81.0,3.24
291,bus,80.0,3.2
291,bus,79.0,3.16
291,bus,79.0,3.16
714,car,79.0,3.16
115,car,79.0,3.16
115,car,79.0,3.16
291,bus,78.0,3.12
291,bus,78.0,3.12
291,bus,78.0,3.12
291,bus,78.0,3.12
459,truck,78.0,3.12
1100,traffic light,78.0,3.12
1100,traffic light,77.0,3.08
571,car,77.0,3.08
604,car,77.0,3.08
384,truck,77.0,3.08
570,car,77.0,3.08
1009,traffic light,76.0,3.04
1100,traffic light,76.0,3.04
554,car,76.0,3.04
684,truck,76.0,3.04
684,truck,75.0,3.0
1100,traffic light,74.0,2.96
641,bus,73.0,2.92
571,car,73.0,2.92
684,truck,73.0,2.92
684,truck,73.0,2.92
714,car,72.0,2.88
384,truck,72.0,2.88
714,car,72.0,2.88
571,car,72.0,2.88
604,car,72.0,2.88
604,car,72.0,2.88
604,car,71.0,2.84
649,traffic light,71.0,2.84
714,car,71.0,2.84
604,car,71.0,2.84
498,traffic light,71.0,2.84
714,car,71.0,2.84
759,traffic light,70.0,2.8
1112,traffic light,70.0,2.8
769,traffic light,70.0,2.8
115,car,69.0,2.76
1112,traffic light,69.0,2.76
459,truck,69.0,2.76
354,truck,69.0,2.76
604,car,68.0,2.72
684,truck,68.0,2.72
384,truck,68.0,2.72
384,truck,67.0,2.68
291,bus,67.0,2.68
354,truck,67.0,2.68
570,car,66.0,2.64
384,truck,66.0,2.64
604,car,66.0,2.64
649,traffic light,66.0,2.64
684,truck,66.0,2.64
1100,traffic light,66.0,2.64
200,car,65.0,2.6
1100,traffic light,65.0,2.6
714,car,65.0,2.6
384,truck,65.0,2.6
604,car,65.0,2.6
759,traffic light,64.0,2.56
384,truck,64.0,2.56
554,car,64.0,2.56
570,car,64.0,2.56
200,car,64.0,2.56
759,traffic light,64.0,2.56
200,car,64.0,2.56
291,bus,63.0,2.52
291,bus,63.0,2.52
115,car,63.0,2.52
115,car,63.0,2.52
291,bus,62.0,2.48
759,traffic light,62.0,2.48
291,bus,62.0,2.48
354,truck,61.0,2.44
649,traffic light,61.0,2.44
188,car,61.0,2.44
714,car,61.0,2.44
571,car,61.0,2.44
759,traffic light,60.0,2.4
188,car,60.0,2.4
554,car,60.0,2.4
649,traffic light,60.0,2.4
759,traffic light,59.0,2.36
459,truck,59.0,2.36
1100,traffic light,59.0,2.36
759,traffic light,59.0,2.36
110,car,57.99999999999999,2.32
737,car,57.99999999999999,2.32
291,bus,57.99999999999999,2.32
759,traffic light,57.99999999999999,2.32
571,car,57.99999999999999,2.32
649,traffic light,56.99999999999999,2.28
